name,price,release
Portal 2,$8.23,2011
People Playground,$9.99,2019
Stardew Valley,$14.99,2016
Vampire Survivors,$4.99,2022
Hades,$24.99,2020
Portal,$0.99,2007
HoloCure - Save the Fans!,-,2023
Terraria,$9.99,2011
RimWorld,$34.99,2018
Half-Life: Alyx,$59.99,2020
Left 4 Dead 2,$9.99,2009
Pizza Tower,$19.99,2023
The Henry Stickmin Collection,$14.99,2020
Senren＊Banka,$34.99,2020
Euro Truck Simulator 2,$4.99,2012
A Short Hike,$7.99,2019
Slay the Spire,$8.49,2019
Lethal Company,$9.99,2023
Slime Rancher,$19.99,2017
ULTRAKILL,$24.99,2020
Totally Accurate Battle Simulator,$6.79,2021
The Binding of Isaac: Rebirth,$14.99,2014
Mount & Blade: Warband,$19.99,2010
Half-Life 2,$9.99,2004
Helltaker,-,2020
Cats Hidden in Jingle Jam,-,2023
OneShot,$9.99,2016
Katana ZERO,$14.99,2019
VPet-Simulator,-,2023
Cats Hidden in Paris,-,2023
Counter-Strike,$9.99,2000
Bloons TD 6,$13.99,2018
Resident Evil 4,$39.99,2023
BeamNG.drive,$24.99,2015
Plants vs. Zombies GOTY Edition,$4.99,2009
ATRI -My Dear Moments-,$20.99,2020
Hollow Knight,$14.99,2017
Celeste,$19.99,2018
Dyson Sphere Program,$19.99,2021
Deep Rock Galactic,$29.99,2020
A Hat in Time,$29.99,2017
Dishonored,$9.99,2012
Papa's Freezeria Deluxe,$5.99,2023
Garry's Mod,$9.99,2006
Rhythm Doctor,$15.99,2021
Entropy : Zero 2,-,2022
Stray,$19.79,2022
Firework,$9.99,2021
Our Life: Beginnings & Always,-,2020
tModLoader,-,2020
Baldur's Gate 3,$59.99,2023
The Room 4: Old Sins,$8.99,2021
South Park™: The Stick of Truth™,$7.49,2014
Dead Cells,$24.99,2018
DAVE THE DIVER,$14.99,2023
The Chronicles Of Myrtana: Archolos,-,2021
OMORI,$19.99,2020
Grimm's Hollow,-,2019
Hotline Miami,$9.99,2012
Subnautica,$29.99,2018
Volcano Princess,$10.99,2023
The Wolf Among Us,$14.99,2013
Satisfactory,$29.99,2020
Crab Champions,$9.99,2023
Chants of Sennaar,$19.99,2023
Resident Evil 2,$39.99,2019
Brotato,$3.74,2023
Sheepy: A Short Adventure,-,2024
TOEM: A Photo Adventure,$19.99,2021
BattleBlock Theater®,$14.99,2014
The Room,$4.99,2014
STAR WARS™ Empire at War - Gold Pack,$19.99,2010
Pineapple on pizza,-,2023
Neon White,$14.99,2022
"Papers, Please",$9.99,2013
Inscryption,$11.98,2021
The Walking Dead,$14.99,2012
American Truck Simulator,$4.99,2016
Undertale,$9.99,2015
Steam Engine Simulator,-,2023
Factorio,$35.00,2020
There Is No Game: Wrong Dimension,$12.99,2020
VA-11 Hall-A: Cyberpunk Bartender Action,$14.99,2016
VTOL VR,$29.99,2020
Phoenix Wright: Ace Attorney Trilogy,$29.99,2019
PowerWash Simulator,$24.99,2022
Baba Is You,$10.49,2019
Persona 4 Golden,$19.99,2020
Bomb Rush Cyberfunk,$39.99,2023
Placid Plastic Duck Simulator,$1.99,2022
Hi-Fi RUSH,$29.99,2023
One Finger Death Punch,$4.99,2014
CLANNAD,$44.99,2015
The Witcher 3: Wild Hunt,$39.99,2015
Finding Paradise,$9.99,2017
Project Kat - Paper Lily Prologue,-,2021
Oxygen Not Included,$24.99,2019
Balatro,$14.99,2024
Doki Doki Literature Club!,-,2017
Touhou Mystia's Izakaya,$5.99,2021
Don't Starve,$9.99,2013
The Room Two,$4.99,2016
SANABI,$11.24,2023
Ori and the Will of the Wisps,$29.99,2020
Ravenfield,$17.99,2017
Broforce,$14.99,2015
God of War,$49.99,2022
Half-Life,$9.99,1998
Dishonored,-,2012
Persona 5 Royal,$59.99,2022
Cookie Clicker,$1.74,2021
Risk of Rain 2,$24.99,2020
Iron Snout,-,2016
Wobbledogs,$19.99,2022
Just Shapes & Beats,$19.99,2018
Phasmophobia,$13.99,2020
POSTAL 2,$9.99,2003
Kind Words (lo fi chill beats to write to),$3.99,2019
Cuphead,$19.99,2017
Half-Life 2: Episode Two,$7.99,2007
The Case of the Golden Idol,$17.99,2022
An Arcade Full of Cats,-,2023
Keep Talking and Nobody Explodes,$14.99,2015
INSIDE,$19.99,2016
DUSK,$19.99,2018
Before Your Eyes,$9.99,2021
Counter-Strike: Source,$9.99,2004
Stronghold Crusader HD,$9.99,2002
Tales of the Black Forest,$3.99,2019
Gorogoa,$4.49,2017
Outlast,$19.99,2013
The Murder of Sonic the Hedgehog,-,2023
A Castle Full of Cats,$3.99,2022
Tomb Raider,$14.99,2013
Fallout: New Vegas,$9.99,2010
Lil Gator Game,$9.99,2022
星空列车与白的旅行,$19.99,2021
STEINS;GATE,$29.99,2016
Sid Meier's Civilization® V,$7.49,2010
Purrgatory,-,2021
Touhou Luna Nights,$12.59,2019
20 Small Mazes,-,2024
Patrick's Parabox,$14.99,2022
The Coffin of Andy and Leyley,$9.99,2023
东北之夏,-,2023
Life is Strange - Episode 1,-,2015
Epic Battle Fantasy 5,$24.99,2018
Word Game: Episode 0,-,2021
GRIS,$14.99,2018
CULTIC,$9.99,2022
Blade and Sorcery,$19.99,2018
A Date with Death,-,2023
