name,url,price,release,page
The Price Of Flesh,https://steamdb.info/app/1940040/,$14.99 ,2022,38
Terminator: Resistance,https://steamdb.info/app/954740/,$39.99 ,2019,38
Ken Follett's The Pillars of the Earth,https://steamdb.info/app/234270/,$19.99 ,2017,38
Subsurface Circular,https://steamdb.info/app/676820/,$4.79 ,2017,38
Sumire,https://steamdb.info/app/1335230/,$5.99 ,2021,38
Rock Simulator,https://steamdb.info/app/1187510/,$1.99 ,2019,38
VIVIDLOPE,https://steamdb.info/app/2078510/,$9.99 ,2023,38
Elong Plug,https://steamdb.info/app/2172030/,-,2023,38
Kena: Bridge of Spirits,https://steamdb.info/app/1954200/,$39.99 ,2022,38
"Warhammer 40,000: Space Marine - Anniversary Edition",https://steamdb.info/app/55150/,$59.99 ,2011,38
Black Book,https://steamdb.info/app/1138660/,$24.99 ,2021,38
We Were Here Expeditions: The FriendShip,https://steamdb.info/app/2296990/,$2.59 ,2023,38
Wolf Tails,https://steamdb.info/app/822930/,$9.99 ,2018,38
Touhou Mystery Reel,https://steamdb.info/app/1791610/,-,2022,38
Charlie in the Moistverse of Madness,https://steamdb.info/app/1908670/,-,2022,38
The Long Dark,https://steamdb.info/app/305620/,$11.99 ,2017,38
ONE PIECE: PIRATE WARRIORS 4,https://steamdb.info/app/1089090/,$39.99 ,2020,38
Hush Hush - Only Your Love Can Save Them,https://steamdb.info/app/782250/,$19.99 ,2023,38
Infested Planet,https://steamdb.info/app/204530/,$14.99 ,2014,38
You Have to Win the Game,https://steamdb.info/app/286100/,-,2014,38
Zup! 5,https://steamdb.info/app/645090/,$1.99 ,2017,38
Doll Impostor,https://steamdb.info/app/2882870/,$5.99 ,2024,38
Planet Coaster,https://steamdb.info/app/493340/,$44.99 ,2016,38
Outlast 2,https://steamdb.info/app/414700/,$29.99 ,2017,38
Pavlov,https://steamdb.info/app/555160/,$24.99 ,2017,38
Melody's Escape,https://steamdb.info/app/270210/,$9.99 ,2016,38
The Legend of Heroes: Trails in the Sky the 3rd,https://steamdb.info/app/436670/,$29.99 ,2017,38
Super Jigsaw Puzzle: Generations,https://steamdb.info/app/1036950/,-,2019,38
12 Labours of Hercules,https://steamdb.info/app/342580/,$2.99 ,2015,38
Her World,https://steamdb.info/app/2119940/,$14.99 ,2022,38
Forts,https://steamdb.info/app/410900/,$14.99 ,2017,38
"Peace, Death!",https://steamdb.info/app/588690/,$1.49 ,2017,38
From Frontier,https://steamdb.info/app/1348180/,$15.99 ,2020,38
The Aquarium does not dance,https://steamdb.info/app/2814910/,-,2024,38
Singularity™,https://steamdb.info/app/42670/,$29.99 ,2010,38
Baldr Sky,https://steamdb.info/app/741140/,$49.99 ,2019,38
Corn Kidz 64,https://steamdb.info/app/2575900/,$6.99 ,2023,38
Driftwood,https://steamdb.info/app/2223700/,$11.99 ,2023,38
Tales of Berseria™,https://steamdb.info/app/429660/,$49.99 ,2017,38
Wolfenstein: The New Order,https://steamdb.info/app/201810/,$19.99 ,2014,38
Farming Simulator 15,https://steamdb.info/app/313160/,$12.99 ,2014,38
Assault Android Cactus+,https://steamdb.info/app/250110/,$19.99 ,2015,38
